section,count,section_overview
"prices, wages, and employment",7,employment wage and price
"prices, wages, and labor markets",1,employment wage and price
prices/costs,18,employment wage and price
prices/costs.,1,employment wage and price
prices/employment costs,1,employment wage and price
primary metals,6,agriculture and natural resource
prime rates,1,banking and finance
producer equipment,1,manufacturing and other business activity
producer goods,1,manufacturing and other business activity
production activity,1,manufacturing and other business activity
production and employment,1,manufacturing and other business activity
"production, sales, and inventories",1,manufacturing and other business activity
professional and business services,16,retail sales and services
professional business services,1,retail sales and services
professional services,1,retail sales and services
profits,1,business activity
public finance,2,banking and finance
purchase agents,1,manufacturing and other business activity
purchasing agents,49,business activity
purchasing managers,6,manufacturing and other business activity
purchasing managers pessimistic,1,manufacturing and other business activity
purchasing managers' reports favorable,1,manufacturing and other business activity
random notes by industry,1,business activity
raw material extraction and processing,1,manufacturing and other business activity
reaction to election,1,business sentiment and outlook
real    estate and construction,1,real estate and construction
real  estate,2,real estate and construction
real  estate and construction,1,real estate and construction
real estate,240,real estate and construction
real estate activity,1,real estate and construction
real estate and  construction,2,real estate and construction
"real estate and               construction",1,real estate and construction
real estate and construction,994,real estate and construction
real estate and construction activity,1,real estate and construction
real estate and construction.,2,real estate and construction
real estate and housing,1,real estate and construction
real estate construction,1,real estate and construction
real estate sales and construction,1,real estate and construction
real estate/construction,11,real estate and construction
real estate:,2,real estate and construction
reasons for district problems,1,overview
recession fears,1,business sentiment and outlook
regional differences,1,overview
regional economy,5,overview
regional indicators,1,overview
reports of business activity,2,business activity
residential    real estate,1,real estate and construction
residential  real estate,2,real estate and construction
residential and commercial real estate,1,real estate and construction
residential building,2,real estate and construction
residential construction,17,real estate and construction
residential construction and real estate,50,real estate and construction
residential construction and real estate activity,1,real estate and construction
residential construction and sales,2,real estate and construction
residential real estate,222,real estate and construction
residential real estate and construction,3,real estate and construction
residential real estate housing,1,real estate and construction
residential sales and construction,2,real estate and construction
resource based industries,1,agriculture and natural resource
resource industries,7,agriculture and natural resource
resource industries and tourism,1,agriculture and natural resource
resource-based industries,1,agriculture and natural resource
resource-related industries,53,agriculture and natural resource
resource-related industry,1,agriculture and natural resource
resource-related sectors,1,agriculture and natural resource
resources,3,agriculture and natural resource
retail,587,retail sales and services
retail activity,6,retail sales and services
retail and  tourism,1,retail sales and services
retail and auto sales,3,retail sales and services
retail and services,1,retail sales and services
retail and tourism,92,retail sales and services
retail chain store sales,1,retail sales and services
retail estate,1,retail sales and services
retail sales,400,retail sales and services
retail sales and housing,1,retail sales and services
retail sales and inventories,7,retail sales and services
retail sales pick up,2,retail sales and services
retail sales.,2,retail sales and services
retail sales/housing,1,retail sales and services
retail spending,1,retail sales and services
retail trade,71,retail sales and services
retail trade and services,207,retail sales and services
retail trade and tourism,1,retail sales and services
"retail, travel, and tourism",36,retail sales and services
retail/consumer spending,1,retail sales and services
retail:,1,retail sales and services
retailers,9,retail sales and services
retailers and wholesalers,1,retail sales and services
retailing,36,retail sales and services
return of troops,1,overview
richmond,36,overview
sales,5,business activity
sales volume and prices,1,business activity
san francisco,36,overview
savings and loan activity,1,banking and finance
savings flows,2,banking and finance
selected business services,43,business activity
service industries,1,retail sales and services
service production,9,retail sales and services
service-producing firms,7,retail sales and services
service-producing sector,2,retail sales and services
service-producing sectors,1,retail sales and services
services,491,retail sales and services
services and government,1,retail sales and services
services and related industries,1,retail sales and services
services and tourism,7,retail sales and services
services industries,1,retail sales and services
services.,1,retail sales and services
services:,1,retail sales and services
seventh district problems,1,overview
shipping,1,manufacturing and other business activity
shortages and leadtimes,1,manufacturing and other business activity
small business,1,business activity
small businesses,1,business activity
software and  information technology services,2,software and it services
"software and information                   technology services",1,software and it services
software and information technology    services,1,software and it services
"software and information technology                   services",2,software and it services
"software and information technology                 services",1,software and it services
software and information technology (it) services,1,software and it services
software and information technology services,66,software and it services
software and it services,2,software and it services
some problems,1,overview
specific areas of interest,1,overview
spending and borrowing,1,overview
st. lawrence seaway,1,overview
st. louis,36,overview
staffing,1,employment wage and price
staffing  services,1,employment wage and price
staffing services,59,employment wage and price
state and local government,1,business activity
state and local government finance,1,business activity
state and local governments,2,business activity
state budgets,4,business activity
state government activity,1,business activity
state government finance,1,business activity
state government finances,1,business activity
state government revenues,2,business activity
state governments,1,business activity
state revenues,23,business activity
state sales tax receipts,1,business activity
state tax revenues,3,business activity
steel,81,manufacturing and other business activity
steel slump over?,1,manufacturing and other business activity
strikes,1,employment wage and price
strong retail and manufacturing sales ...,2,manufacturing and other business activity
summary,417,overview
summary and outlook,1,overview
"summary for selected economic aspectsemployment",1,overview
summary of economic activity,431,overview
summary of economic activty,1,overview
summary of findings,1,overview
summary—a better look,1,overview
tax plan reduction,1,business activity
teachers' strikes,1,employment wage and price
temporary employment,99,employment wage and price
temporary employment agencies,1,employment wage and price
temporary employment firms,17,employment wage and price
temporary employment services,1,employment wage and price
temporary employment:,1,employment wage and price
the agriculture sector,1,agriculture and natural resource
the consumer,1,consumer activity
the economic outlook,3,business sentiment and outlook
the economy,5,overview
the financial sector,22,banking and finance
the inventory picture,1,manufacturing and other business activity
the manufacturing sector,20,manufacturing and other business activity
the national economy,3,overview
the oil glut,1,agriculture and natural resource
the outlook,24,business sentiment and outlook
the outlook and prices,4,business sentiment and outlook
the outlook is good,1,business sentiment and outlook
the region,1,overview
the regional economy,1,overview
the tax act,1,business sentiment and outlook
tightening markets,1,overview
tourism,244,consumer activity
tourism and business travel,58,consumer activity
tourism and business travel:,1,consumer activity
tourism and convention business,2,consumer activity
tourism and conventions,1,consumer activity
tourism and port activity,1,consumer activity
tourism and recreation,1,consumer activity
tourism and services,9,consumer activity
tourism:,1,consumer activity
tourist services,2,consumer activity
trade,1,manufacturing and other business activity
trade activity,1,manufacturing and other business activity
trade and services,7,manufacturing and other business activity
transportation,108,manufacturing and other business activity
transportation and distribution,2,manufacturing and other business activity
transportation and natural resources,1,manufacturing and other business activity
transportation and utilities,1,manufacturing and other business activity
transportation:,1,manufacturing and other business activity
travel and tourism,3,consumer activity
trucking and shipping,34,manufacturing and other business activity
trucking and shipping.,1,manufacturing and other business activity
unemployment,1,employment wage and price
unemployment and plant closings,1,employment wage and price
value of the dollar,1,banking and finance
views of outside experts,1,business sentiment and outlook
wages,7,employment wage and price
wages and benefits,1,employment wage and price
wages and prices,282,employment wage and price
wages and prices.,1,employment wage and price
wages and prices:,1,employment wage and price
wages and salaries,1,employment wage and price
weather,1,manufacturing and other business activity
wholesale,1,manufacturing and other business activity
wholesale prices,1,manufacturing and other business activity
widespread strength and optimism,2,business sentiment and outlook
winter wheat planting conditions,1,agriculture and natural resource
wood products,1,agriculture and natural resource
worker experience,3,employment wage and price
 ,20,NA
